46544682524272544024572796860455730460,134463328692751382890248660479806394005,557,BAUJourney,2019.03.22.17.20.51,
23591190974704807352278422479355575475,139187314559332113979322196554727315474,738,BAUJourney,2019.03.22.17.21.24,
89732492803608048153210774031264771474,55474854662349422826145042573187461058,224,BAUJourney,2019.03.22.17.22.03,
85050283031165315584555075893475172308,117383777883913762020107186664512435228,347,BAUJourney,2019.03.22.17.22.35,
07573326307811967423674384988760197591,249049709437886106357139992495960745421,680,BAUJourney,2019.03.22.17.22.58,
35123519293008417632608343886502652259,203596586700910176833566703840770997700,936,BAUJourney,2019.03.22.17.23.15,
73402606516798383930483924620620816431,201465049457220179253908850257149433077,44,IncedoJourney,2019.03.22.17.23.32,
51448579683388263351102531345847272193,229047565283901150626090288077828744633,54,HoldoutJourney,2019.03.22.17.23.50,
29346221841940126851376924812546193657,229050406347744778641976034140124205066,384,BAUJourney,2019.03.22.17.24.06,
32171198390169428810527484281170906765,252493787626903417758711638694233900740,253,BAUJourney,2019.03.22.17.24.22,
15190665109022600032627546341626695321,53800666132539591939289848744574483425,659,BAUJourney,2019.03.22.17.24.38,
06699085794208942512710814758710259819,129790790240151070691642262880305954362,694,BAUJourney,2019.03.22.17.24.56,
82144667330970581703040732052524285243,156654857664475298482695939779881149479,740,BAUJourney,2019.03.22.17.25.17,
30216400863355508513564689963052993197,290236418186961449940486775431342733729,376,BAUJourney,2019.03.22.17.25.36,
14527351641600470230877062240840289668,68517016891216668057604927790198323505,874,BAUJourney,2019.03.22.17.25.52,
16086245393387657982482862455517369321,252359956920875011988234606207262994790,517,BAUJourney,2019.03.22.17.26.08,
57914364613525175131586438372416299338,181013486336768130137346869454722896791,239,BAUJourney,2019.03.22.17.26.25,
15157961932785223280842338589808250367,6820279088279447571525275497709155585,714,BAUJourney,2019.03.22.17.26.41,
